tconst	directors	writers
tt0000001	nm0005691	\N
tt0000002	nm0721522	\N
tt0000003	nm0721523	\N
tt0000091	nm0617588	nm0617588
tt0000092	nm0617588	\N
tt0000093	nm0525908,nm0525910	\N
